বউ,পঊ,ফঊ,তউ,ঢউ,রউ,গউ,ভউ,ঘউ,যউ,মঊ,সউ,তঊ,ধউ,শউ,থঊ,সঊ,লঊ,ছঊ,ফউ,ষঊ,ডউ,রঊ,ঝঊ,ভঊ,চউ,ঠউ,ডঊ,ঝউ,ছউ,থউ,নঊ,ধঊ,নউ,ঢঊ,শঊ,চঊ,লউ,যঊ,টউ,মউ,কউ,জউ,বঊ,টঊ,গঊ,পউ,দঊ,ঠঊ,দউ,জঊ,হঊ,খঊ,ঘঊ,খউ,হউ
বু,পূ,ফূ,তু,ঢু,রু,গু,ভু,ঘু,যু,মূ,সু,তূ,ধু,শু,থূ,সূ,লূ,ছূ,ফু,ষূ,ডু,রূ,ঝূ,ভূ,চু,ঠু,ডঊ,ঝু,ছু,থু,নূ,ধূ,নু,ঢূ,শূ,চূ,লু,যূ,টু,মু,কু,জু,বূ,টূ,গূ,পু,দূ,ঠূ,দু,জঊ,হূ,খূ,ঘূ,খু,হু
